date,y_true,y_pred
2015-04-10,0.02184603064451889,0.0
2015-04-13,0.035656227387503646,0.0
2015-04-14,0.007155247015519212,0.0
2015-04-15,-0.009842689299312661,0.0
2015-04-16,-0.0007275120146448655,0.0
2015-04-17,0.0008542277879418097,0.0
2015-04-20,-0.004021720487736138,0.0
2015-04-21,0.011610329855836201,0.0
2015-04-22,0.012740608425260083,0.0
2015-04-23,0.0027857265124437316,0.0
2015-04-24,0.01079779197981881,0.0
2015-04-27,0.00935897755808154,0.0
2015-04-28,-0.008051814298410079,0.0
2015-04-29,-0.01972549924667747,0.0
2015-04-30,-0.027466143249514324,0.0
2015-05-01,-0.01348499542075402,0.0
2015-05-04,-0.029962977828019204,0.0
2015-05-05,-0.012944803570329382,0.0
2015-05-06,-0.01162663015628298,0.0
2015-05-07,-0.0011195220619822843,0.0
2015-05-08,-0.01342141633266175,0.0
2015-05-11,0.006461213407802149,0.0
2015-05-12,-0.012486116089603533,0.0
2015-05-13,-0.007994039687825973,0.0
2015-05-14,0.0017408533722026703,0.0
2015-05-15,-0.005843259430170604,0.0
2015-05-18,-0.022672701379929865,0.0
2015-05-19,-0.010102313928138784,0.0
2015-05-20,-0.015927457131770472,0.0
2015-05-21,-0.026436566150779574,0.0
2015-05-22,-0.02538168346018122,0.0
2015-05-26,-0.0025370677517896323,0.0
2015-05-27,-0.007644303516994829,0.0
2015-05-28,-0.01735158369535888,0.0
2015-05-29,-0.009227301557785103,0.0
2015-06-01,-0.012353767312567654,0.0
2015-06-02,-0.019365813190720543,0.0
2015-06-03,-0.00025587455221274386,0.0
2015-06-04,0.008906189298716631,0.0
2015-06-05,-0.009313238230839528,0.0
2015-06-08,-0.005974130935223716,0.0
2015-06-09,0.0019406374164664603,0.0
2015-06-10,-0.012745558744679825,0.0
2015-06-11,-0.008906189298716637,0.0
2015-06-12,-0.013607344354461514,0.0
2015-06-15,0.000911395128808807,0.0
2015-06-16,-0.0036256210938455757,0.0
2015-06-17,-0.007412735567825661,0.0
2015-06-18,-0.0169982574764497,0.0
2015-06-19,0.002236966033170156,0.0
2015-06-22,-0.029048741879644714,0.0
2015-06-23,-0.025354299697388744,0.0
2015-06-24,-0.03196351545120308,0.0
2015-06-25,-0.017292304344760423,0.0
2015-06-26,-0.033819953764891116,0.0
2015-06-29,-0.005642876282273795,0.0
2015-06-30,-0.03300275661387363,0.0
2015-07-01,-0.015072600656332955,0.0
2015-07-02,-0.014052399042456427,0.0
2015-07-06,0.006234759533719179,0.0
2015-07-07,0.004302234253932471,0.0
2015-07-08,0.006988752258368702,0.0
2015-07-09,0.003278318687580919,0.0
2015-07-10,-0.014390646754791708,0.0
2015-07-13,-0.03478251081897045,0.0
2015-07-14,-0.0414985764000001,0.0
2015-07-15,-0.03191173939745095,0.0
2015-07-16,-0.03412257549839232,0.0
